type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-11-19 12:31:41,53.97345924,-7.35498972,10.50,85.987,56.998,1.330,101,17,36,,
T,2024-11-19 12:31:42,53.97344796,-7.35499484,10.24,85.971,56.998,1.240,104,17,36,,
T,2024-11-19 12:31:43,53.97343529,-7.35501194,10.19,87.383,56.998,1.220,106,17,36,,
T,2024-11-19 12:31:44,53.97342216,-7.35502458,10.26,87.042,56.998,1.290,110,18,36,,
T,2024-11-19 12:31:45,53.97341168,-7.35503701,10.01,86.721,56.998,0.890,112,17,35,,
T,2024-11-19 12:31:46,53.97340093,-7.35504607,10.03,86.539,56.998,1.080,112,16,36,,
T,2024-11-19 12:31:47,53.97338842,-7.35505243,9.94,86.554,56.998,1.040,110,14,36,,
T,2024-11-19 12:31:48,53.97337465,-7.35506218,9.94,87.205,56.998,1.170,107,14,36,,
T,2024-11-19 12:31:49,53.97336105,-7.35506815,9.94,87.373,56.998,1.320,109,16,36,,
T,2024-11-19 12:31:50,53.97334933,-7.35507151,9.94,87.276,56.998,1.200,105,16,36,,
T,2024-11-19 12:31:51,53.97333891,-7.35507050,9.94,86.754,56.998,1.280,96,16,35,,
T,2024-11-19 12:31:52,53.97332540,-7.35507163,9.94,87.123,56.998,1.350,107,17,36,,
T,2024-11-19 12:31:53,53.97331243,-7.35507022,9.94,87.139,56.998,1.310,113,17,36,,
T,2024-11-19 12:31:54,53.97329980,-7.35507477,9.94,85.948,56.998,1.000,161,18,36,,
T,2024-11-19 12:31:55,53.97328649,-7.35508651,9.94,85.582,56.998,1.400,200,19,36,,
T,2024-11-19 12:31:56,53.97327462,-7.35509896,9.94,85.278,56.998,1.680,216,19,36,,
T,2024-11-19 12:31:57,53.97326552,-7.35510337,9.94,85.069,56.998,1.070,186,20,36,,
T,2024-11-19 12:31:58,53.97325607,-7.35510157,9.94,84.261,56.998,1.190,189,19,36,,
T,2024-11-19 12:31:59,53.97324572,-7.35510332,9.94,85.015,56.998,1.210,193,19,36,,
T,2024-11-19 12:32:00,53.97323557,-7.35510663,9.94,84.896,56.998,1.180,192,19,36,,
T,2024-11-19 12:32:01,53.97322523,-7.35510927,9.94,84.637,56.998,1.380,197,19,36,,
T,2024-11-19 12:32:02,53.97321650,-7.35511281,9.94,84.468,56.998,1.010,191,20,36,,
T,2024-11-19 12:32:03,53.97320593,-7.35511646,9.94,84.541,56.998,1.330,199,20,36,,
T,2024-11-19 12:32:04,53.97319675,-7.35511904,9.94,83.731,56.998,1.200,205,20,36,,
T,2024-11-19 12:32:05,53.97318728,-7.35512485,9.94,83.998,56.998,1.140,205,20,36,,
T,2024-11-19 12:32:06,53.97317721,-7.35513118,9.94,84.406,56.998,1.270,210,20,36,,
